City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,Description
132,Codrington,72,AU,2022-07-27 19:20:38,76,-38.2667,141.9667,45.63,6.11,broken clouds
133,Carnarvon,100,AU,2022-07-27 19:20:39,53,-24.8667,113.6333,69.53,1.5,overcast clouds
134,Tuktoyaktuk,75,CA,2022-07-27 19:20:39,67,69.4541,-133.0374,57.2,17.27,broken clouds
135,Margate,100,GB,2022-07-27 19:18:40,69,51.3813,1.3862,63.9,4.0,overcast clouds
136,Springfield,0,US,2022-07-27 19:20:36,43,37.2153,-93.2982,98.11,8.01,clear sky
137,Catuday,100,PH,2022-07-27 19:20:40,78,16.2923,119.8062,81.14,6.24,overcast clouds
138,Susangerd,3,IR,2022-07-27 19:20:41,7,31.5608,48.1831,99.68,10.56,clear sky
139,Airai,54,TL,2022-07-27 19:20:41,83,-8.9266,125.4092,51.19,4.16,broken clouds
140,Rabo De Peixe,20,PT,2022-07-27 19:20:42,83,37.8,-25.5833,74.71,17.27,few clouds
141,Santa Rosa,100,PH,2022-07-27 19:20:42,86,14.3122,121.1114,82.38,4.61,overcast clouds
142,Chuy,99,UY,2022-07-27 19:20:43,83,-33.6971,-53.4616,64.99,6.13,overcast clouds
143,Miraflores,83,MX,2022-07-27 19:20:43,59,19.2167,-98.8083,74.97,1.5,broken clouds
144,Junnar,100,IN,2022-07-27 19:20:44,92,19.2,73.8833,72.48,4.38,overcast clouds
145,Severo-Kurilsk,41,RU,2022-07-27 19:20:44,89,50.6789,156.125,51.87,6.91,scattered clouds
146,Porbandar,61,IN,2022-07-27 19:20:45,83,21.6422,69.6093,81.39,12.12,broken clouds
147,Coahuayana,91,MX,2022-07-27 19:20:45,50,18.7333,-103.6833,90.75,6.11,overcast clouds
148,Yellowknife,75,CA,2022-07-27 19:20:46,59,62.456,-114.3525,66.72,4.61,broken clouds
149,Namibe,30,AO,2022-07-27 19:20:46,89,-15.1961,12.1522,64.08,1.63,scattered clouds
150,Copiapo,6,CL,2022-07-27 19:20:47,40,-27.3667,-70.3333,56.89,5.97,clear sky
151,Chunoyar,100,RU,2022-07-27 19:20:47,94,57.4467,97.3217,55.69,3.67,overcast clouds
152,Sur,17,OM,2022-07-27 19:20:48,72,22.5667,59.5289,82.2,20.18,few clouds
153,Souillac,75,MU,2022-07-27 19:20:48,88,-20.5167,57.5167,68.38,11.5,light rain
154,Caravelas,0,BR,2022-07-27 19:20:49,65,-17.7125,-39.2481,75.31,5.95,clear sky
155,Banda Aceh,100,ID,2022-07-27 19:20:49,82,5.5577,95.3222,77.94,6.98,moderate rain
156,Vasto,100,IT,2022-07-27 19:20:50,79,42.1243,14.7059,76.14,8.43,overcast clouds
157,San Patricio,100,US,2022-07-27 19:20:50,45,28.017,-97.5169,95.18,15.26,overcast clouds
158,Doba,100,TD,2022-07-27 19:20:51,97,8.65,16.85,71.28,3.09,overcast clouds
159,Kaitangata,100,NZ,2022-07-27 19:20:51,95,-46.2817,169.8464,44.33,4.83,moderate rain
160,Iskateley,77,RU,2022-07-27 19:20:51,63,67.6803,53.1512,64.26,12.77,broken clouds
161,Vila Franca Do Campo,89,PT,2022-07-27 19:20:52,70,37.7167,-25.4333,75.61,8.41,overcast clouds
162,Chokurdakh,99,RU,2022-07-27 19:20:53,56,70.6333,147.9167,48.16,9.73,overcast clouds
163,Nanortalik,76,GL,2022-07-27 19:20:53,83,60.1432,-45.2371,44.31,4.09,broken clouds
164,Katherine,28,AU,2022-07-27 19:20:05,62,-14.4667,132.2667,55.72,4.61,scattered clouds
